"team","date","time","name","pos","status","injury","note","year","cdate","conf","bcs"
"Mississippi State Bulldogs","09/17/08","7:53am","Dominic Douglas","LB","Questionable","Achilles","Douglas didn't actively participate in practice on Monday and had limited participation Tuesday due to an Achilles heel issue and is questionable for Saturday.",2008,"2008-09-17","SEC","y"
"Mississippi State Bulldogs","09/17/08","7:52am","KJ Wright","LB","Probable","Ankle","Wright was back to full speed at Tuesday's practice and will most likely play in the Georgia Tech matchup this weekend.",2008,"2008-09-17","SEC","y"
"Mississippi State Bulldogs","09/17/08","7:51am","Christian Ducre","RB","Probable","Knee","Ducre was limited in Monday's short practice due to a banged up knee but was back to full speed at Tuesday's practice. The backup will be available for the Tech game.",2008,"2008-09-17","SEC","y"
"Mississippi State Bulldogs","09/14/08","3:10pm","Marcus Green","TE","Questionable","Hip","Green re-injured his balky hip in the week 2 contest w/ SE La. and finished the game on crutches on the sidelines. He missed the week 3 contest and is questionable for Georgia Tech.",2008,"2008-09-14","SEC","y"
"Mississippi State Bulldogs","09/14/08","3:09pm","Eric Richards","K","Questionable","Hip","Richards did not play in week 3 due to an inflamed tendon in his hip.",2008,"2008-09-14","SEC","y"
"Mississippi State Bulldogs","09/10/08","10:24am","Jamar Chaney","LB","Out","Leg","Chaney was lost for the season when he broke his leg in the opening game. Not only was he an All-SEC performer on the field, but he was one of the Bulldogs' strongest leaders in the locker room. Redshirt freshman Jamie Jones started at MLB last week in the win over Southeastern Louisiana.",2008,"2008-09-10","SEC","y"
"Mississippi State Bulldogs","09/08/08","8:46am","O'Neal Wilder","WR","Out","Knee","The freshman missed the first two games and could be out several more weeks with a dislocated kneecap. The reigning 400-meter dash junior world champion was expected to add a spark to the passing game but will have to wait.",2008,"2008-09-08","SEC","y"
"Mississippi State Bulldogs","09/26/08","8:49am","Michael Gates","OL","Probable","Hamstring","Gates left the Georgia Tech game in the first half and didn't return. He has been upgraded to probable although he is not likely to start tomorrow.",2008,"2008-09-26","SEC","y"
"Mississippi State Bulldogs","09/26/08","8:49am","Derek Pegues","DB","Probable","Ankle","""I injured it a little bit last week and it gave me some problems [Saturday],"" Pegues said. ""But with a week of treatment, it'll be all right."" Pegues has been upgraded to probable for tomorrow.",2008,"2008-09-26","SEC","y"
"Mississippi State Bulldogs","09/23/08","1:15pm","Keith Fitzhugh","DB","Probable","Concussion/Head","The starting strong safety went to the locker room in the fourth quarter of Saturday's game and did not return. He did not practice on Monday but Coach Croom doesn't expect it to be too serious.",2008,"2008-09-23","SEC","y"
"Mississippi State Bulldogs","09/23/08","1:13pm","Dominic Douglas","LB","Probable","Shoulder","Douglas didn't practice Monday but Coach Croom said his injury shouldn't impact his availability Saturday.",2008,"2008-09-23","SEC","y"
"Mississippi State Bulldogs","10/09/08","8:40am","JC Brignone","OL","Probable","Knee","Starting center Brignone missed practice Wednesday with a right knee injury but Mississippi St. coach Sylvester Croom said he expects Brignone to play Saturday against Vanderbilt.",2008,"2008-10-09","SEC","y"
"Mississippi State Bulldogs","10/08/08","8:45am","Zach Smith","DB","Questionable","Concussion/Head","Backup free safety Smith suffered a concussion in practice last week and is being protected this week. His status for Saturday is to be determined.",2008,"2008-10-08","SEC","y"
"Mississippi State Bulldogs","10/08/08","8:41am","LaMarcus Williams","DL","Questionable","Back","The backup defensive tackle sat out practice all of last week due to a sore back but returned Tuesday. Williams' status for the Vandy game is uncertain.",2008,"2008-10-08","SEC","y"
"Mississippi State Bulldogs","10/08/08","8:40am","Jessie Bowman","DL","Questionable","Back","The idle week 6 has given Bowman the rest needed to heal an ailing back. The starter was back at practice on Tuesday ableit in a limited-purple jersey. His status is still uncertain for Vandy. His backup LaMarcus Williams has been out with similar back pain. Junior Kyle Love would likely be relied upon more if neither Bowman nor Williams can play. Love has started one game this season and has one QB sack.",2008,"2008-10-08","SEC","y"
"Mississippi State Bulldogs","10/08/08","8:30am","Derek Pegues","DB","Probable","Shoulder","Pegues missed all practices during last week's open week nursing a shoulder injury. Coach Croom has long called Derek Pegues his team's best player. Pegues has been upgraded to probable and is expected back in the lineup against Vandy.",2008,"2008-10-08","SEC","y"
"Mississippi State Bulldogs","10/06/08","8:48am","Robert Elliott","RB","Out For Year","Knee","Elliott will miss the remainder of the season and undergo surgery to repair two torn ligaments in his knee. Elliott's absence will likely mean the Bulldogs will rely on starter Anthony Dixon and Christian Ducre to carry the load at tailback the rest of the season.",2008,"2008-10-06","SEC","y"
"Mississippi State Bulldogs","10/22/08","10:40am","Jimmie Holmes","DL","Probable","Leg","Backup defensive end Jimmie Holmes was held out of Tuesdays practice with a calf contusion but is expected to be ready for Saturday.",2008,"2008-10-22","SEC","y"
"Mississippi State Bulldogs","10/20/08","7:50pm","Tyson Lee","QB","Probable","Knee","Lee injured his knee at Tennessee in week 8 but has been upgraded to probable for week 9.",2008,"2008-10-20","SEC","y"
"Mississippi State Bulldogs","10/20/08","5:36pm","Jasper O'Quinn","DB","Questionable","Arm","CB Jasper OQuinn was helped off the field with an arm injury but it does not appear to be too serious. He is questionable for week 9.",2008,"2008-10-20","SEC","y"
"Mississippi State Bulldogs","10/20/08","5:35pm","Brandon Cooper","DL","Questionable","Neck","Cooper  was helped off the field with neck spasms but nothing long-term was reported. His status for week 9 is uncertain.",2008,"2008-10-20","SEC","y"
"Mississippi State Bulldogs","11/14/08","9:20am","Aubrey Bell","WR","Questionable","Hamstring","Bell's hamstring has reduced his status to questionable for Alabama this weekend. He ranks 2nd on the team with 28 receptions and 248 receiving yards.",2008,"2008-11-14","SEC","y"
"Mississippi State Bulldogs","11/17/08","11:30am","Derek Pogues","DB","Probable","Concussion/Head","Pegues was knocked out of the game, literally, by a concussion on Alabamas last touchdown drive when he collided with teammate S Charles Mitchell. He is probable for Arkansas however.",2008,"2008-11-17","SEC","y"
"Mississippi State Bulldogs","11/17/08","11:28am","Co-Eric Riley","WR","Questionable","Shoulder","Riley is questionable for the upcoming Arkansas game due to a shoulder injury. He has started one game this season and had 10 receptions for 92 yards.",2008,"2008-11-17","SEC","y"
"Mississippi State Bulldogs","11/17/08","9:54am","Jessie Bowman","DL","Out For Year","Leg","Defensive tackle Jessie Bowman is likely lost for the season with a torn quad tendon suffered in the loss to Alabama Coach Sylvester Croom said. My guestimation is hes out for the season, Croom said. They are going to have to operate on him. Bowman was a six-game starter on MSUs defensive line this season. The lineman also started nine games last season.",2008,"2008-11-17","SEC","y"
"Mississippi State Bulldogs","11/26/08","2:01pm","Jasper O'Quinn","DB","Questionable","Back","O'Quinn is questionable for Ole Miss with a back injury. He ranks 3rd on the team in tackles and will be difficult to replace if he cannot play.",2008,"2008-11-26","SEC","y"
"Mississippi State Bulldogs","11/26/08","1:56pm","Tyson Lee","QB","Probable","Hand","Lee was wearing a splint on a finger of his throwing hand, the same digit first hurt when he hit a helmet in the Kentucky game. He said he will wear the protection a day or two more just in case, while the swelling goes down. It didnt have any effect on me throwing yesterday, I guess the adrenalin kind of overrode the pain. Lee was 23-of-40 passing for 219 yards, two touchdowns, and no interceptions.",2008,"2008-11-26","SEC","y"
"Mississippi State Bulldogs","11/26/08","1:54pm","Keith Fitzhugh","DB","Questionable","Leg","Senior strong safety Keith Fitzhugh limped to the locker room late in the last game with ice on his lower left leg. MSU coach Sylvester Croom said he didn't know how extensive Fitzhugh's injury is.",2008,"2008-11-26","SEC","y"
"Mississippi State Bulldogs","09/12/08","7:52am","Brandon McRae","WR","Probable","Hamstring","McRae has a hamstring issue and wore a yellow at practice early this week but Coach Croom said nothing has changed about his availability for Saturday's game against No. 9 Auburn.",2008,"2008-09-12","SEC","y"
"Mississippi Rebels","10/03/08","9:11am","Marcus Temple","DB","Doubtful","Foot","The Rebels' fifth defensive back was in a walking boot Tuesday and did not practice. The severity of the injury at this point is unknown but he will likely miss the S. Carolina game. The most likely candidates to replace Temple are senior S Terrell Jackson and CB Jeremy McGee but Coach Nutt said the coaching staff is exploring all options.",2008,"2008-10-03","SEC","y"
"Mississippi Rebels","09/30/08","3:16pm","John Jerry","OL","Probable","Shoulder","Jerry developed a shoulder strain at Florida in week 5 but is expected to play Saturday versus S. Carolina.",2008,"2008-09-30","SEC","y"
"Mississippi Rebels","10/22/08","8:42am","David Traxler","TE","Doubtful","Back","Traxler missed Saturday's game against Alabama because of a bad back. Coach Nutt said the injury hasn't improved much and the senior could be out for multiple games.",2008,"2008-10-22","SEC","y"
"Mississippi Rebels","10/22/08","8:39am","Darryl Harris","OL","Questionable","Elbow","Harris has been sitting out practice with an elbow injury and is questionable for Arkansas. Reid Neely was moved up to the first team in Harris' place. Neely was last year's starter at LG.",2008,"2008-10-22","SEC","y"
"Mississippi Rebels","11/13/08","9:33am","Shay Hodge","WR","Probable","Foot","Junior WR Shay Hodge missed Tuesday's practice with a bruised heel but was dressed out Wednesday and practicing. He is 2nd on the team in receptions but leads the Rebels in receiving yards and has scored 7 TD's this season - nobody else on the team has more than 3.",2008,"2008-11-13","SEC","y"
"Mississippi Rebels","11/13/08","9:28am","Jason Cook","FB","Questionable","Concussion/Head","FB Jason Cook has missed the last week or so with a concussion he got in the Auburn game, but dressed out for practice Wednesday in shoulder pads and helmet - although he had a yellow jersey on signifying no contact. That's a step in the right direction, but it also means he has not been totally cleared yet. Odds are he will be cleared for Thursday's practice and the game Saturday, if he has no further setbacks.",2008,"2008-11-13","SEC","y"
"Mississippi Rebels","11/26/08","2:34pm","Marshay Green","DB","Questionable","Foot","Green missed Tuesday's practice and had a boot on his left foot. ""Got a big-time heel spur,"" Coach Nutt said. ""Little sore. I hope he'll be here tomorrow."" Green has emerged as one of the Rebels' best cornerbacks this season after switching from receiver in the spring. If Green can't play on Friday, the starters would be most likely be Cassius Vaughn and Dustin Mouzon.",2008,"2008-11-26","SEC","y"
"Mississippi Rebels","11/26/08","2:32pm","Jevan Snead","QB","Doubtful","Shoulder","Snead was able to throw during Tuesday's practice after suffering a hard hit to his right shoulder during Saturday's victory over LSU.  ""I came out and threw a little bit,"" Snead said. ""It feels good and I'm on track to be ready to go."" Coach Houston Nutt said he was pleased with the QB's progress. Snead was sacked by LSU's Rahim Alem late in the first half and whisked away to the locker room just before halftime ended. But the sophomore returned in the 2nd half and threw well. For the game, he completed 16 of 25 passes for 274 yards, two touchdowns and no interceptions.",2008,"2008-11-26","SEC","y"
"Mississippi Rebels","12/24/08","9:11am","Jason Cook","FB","Questionable","Knee","Cook is coming off knee surgery and the team is hoping that he can play in the game to some extent.",2008,"2008-12-24","SEC","y"
"Missouri Tigers","09/10/08","5:24am","Andy Maples","DL","Questionable","Foot","The backup DT is likely to return this week or next week.  The highly touted Juco transfer is expected to add depth at DT for the Tigers.  He is recovering from a broken bone in his foot suffered in fall camp.",2008,"2008-09-10","SEC","y"
"Missouri Tigers","09/09/08","5:25am","Tremane Vaughns","DB","Questionable","Ankle","Backup CB Tremane Vaughns turned his ankle and his status for the 9/13 game vs Nevada is in question. If hes unavailable redshirt freshman Trey Hobson becomes the fourth cornerback.",2008,"2008-09-09","SEC","y"
"Missouri Tigers","09/09/08","5:23am","Danario Alexander","WR","Probable","Knee","Alexander is recovering from knee surgery and did not play the first two weeks. Coach Pinkel said he will make his season debut against Nevada 9/13. The 6'5"" junior had recorded a 46 inch vertical before his injury. In comparison the top vertical at the '08 NFL combine was 39 inches.",2008,"2008-09-09","SEC","y"
"Missouri Tigers","09/09/08","5:22am","William Moore","DB","Probable","Foot","FS William Moore did not play in Missouri's win over SE Missouri but has returned to practice and it is looking more likely he will play 9/13 vs Nevada. Moore was a 2nd Team All-American in '07.",2008,"2008-09-09","SEC","y"
"Missouri Tigers","09/07/08","10:05am","Van Alexander","LB","Questionable","Shoulder","Alexander is recovering from a torn ACL in spring drills and did not participate in Missouri's wins over Illinois & SE Missouri.  Alexander started 8 of 14 games in 2007 and recorded 60 tackles.",2008,"2008-09-07","SEC","y"
"Missouri Tigers","09/01/08","9:31pm","Steve Redmond","LB","Out","Knee","Pinkel said backup SLB Steve Redmond will undergo surgery on Tuesday and has already asked if he can return for a bowl game. Hes just a solider, Pinkel said of the fifth-year senior. Sophomore Jeff Gettys is now the backup to Luke Lambert.",2008,"2008-09-01","SEC","y"
"Missouri Tigers","09/15/08","10:01pm","Andrew Gachkar","LB","Doubtful","Achilles","Gachkar injured his achilles 9/13 vs Nevada.  Coach Pinkel does not believe the injury is too serious.  The backup had one tackle in the game.",2008,"2008-09-15","SEC","y"
"Missouri Tigers","10/14/08","8:14am","Chase Coffman","TE","Probable","Hand","Coffman bent his hand while blocking 10/11 vs. Oklahoma St. but said he was fine. He is 2nd on the team in receiving yards.",2008,"2008-10-14","SEC","y"
"Missouri Tigers","10/14/08","8:12am","Jeremy Maclin","WR","Probable","Knee","Maclin bruised his knee 10/11 vs. Oklahoma St. but is expected to play this week. He is the team's leading receiver with 600 yards and 5 TDs.",2008,"2008-10-14","SEC","y"
"Missouri Tigers","10/14/08","8:10am","Colin Brown","OL","Probable","Ankle","The starting RT turned his ankle 10/11 vs. Oklahoma St. but is expected to play this week.",2008,"2008-10-14","SEC","y"
"Missouri Tigers","10/21/08","8:22am","Danario Alexander","WR","Probable","Ankle","Alexander injured his ankle 10/18 @ Texas but is expected to play this week. He has just 8 catches on the season.",2008,"2008-10-21","SEC","y"
"Missouri Tigers","10/21/08","8:21am","Tommy Chavis","DL","Probable","Ankle","Chavis injured his ankle 10/18 @ Texas but is expected to play this week.",2008,"2008-10-21","SEC","y"
"Missouri Tigers","10/20/08","8:11am","Colin Brown","OL","Questionable","Concussion/Head","The RT suffered a concussion in the 2nd quarter 10/18 @ Texas and did not return. More on his status is not yet known.",2008,"2008-10-20","SEC","y"
"Missouri Tigers","11/10/08","8:13am","Chase Coffman","TE","Probable","Foot","Coffman missed 11/8 vs. Kansas St. He injured his big toe 11/1 @ Baylor. He was close to being able to play last week so he should be able to go this week. Andrew Jones filled in for him. Coffman was a 2nd Tm All-Big 12 selection last season and is 2nd on the team this year with 819 receiving yards and 7 TD's.",2008,"2008-11-10","SEC","y"
"Missouri Tigers","12/01/08","8:39am","Castine Bridges","DB","Doubtful","Knee","Bridges went down in the 3rd quarter 11/29 vs. Kansas with a knee injury that was initially diagnosed as a torn meniscus. He was replaced by senior Tru Vaughns. Bridges is regarded as the best Missouri CB.",2008,"2008-12-01","SEC","y"
"Missouri Tigers","12/24/08","8:25am","William Moore","DB","Probable","Ribs","Moore is dealing with a rib cartilage problem that limited him in the Big 12 title game. He expects to play but may be limited some in the Alamo Bowl. He is 4th on the team with 83 tackles.",2008,"2008-12-24","SEC","y"
"Missouri Tigers","12/24/08","8:21am","Trey Hobson","DB","Probable","Shoulder","Hobson separated his shoulder in practice on Friday but has practiced since and is expected to play. He has 13 tackles.",2008,"2008-12-24","SEC","y"
"Navy Midshipmen","09/09/08","5:14am","Kaipo-Noa Kaheaku-Enhada","QB","Probable","Hamstring","Despite returning to practice in full pads this week he did not play in the loss to Ball St and has not played yet this season.  However he is upgraded to probable as he is expected to start the 9/13 game vs Duke.",2008,"2008-09-09","IND","n"
"Navy Midshipmen","09/07/08","9:37am","Andrew McGinn","OL","Questionable","Concussion/Head","The senior with 13 career starts did not play 9/5 vs Ball St.  He was replaced by Mike Von Bargen a senior making his first career start.",2008,"2008-09-07","IND","n"
"Navy Midshipmen","09/07/08","9:32am","Ketric Buffin","DB","Probable","Knee","The projected starting CB out of Spring sat out the first two weeks. Buffin led the team in interceptions last season with four.",2008,"2008-09-07","IND","n"
"Navy Midshipmen","09/18/08","6:07pm","Eric Kettani","FB","Probable","Hamstring","Kettani left in the first quarter of Navy's 9/13 loss to Duke and did not return.  He has sat out the first few days of practice but is upgraded to probable.  He is the leading returning rusher for Navy and a key part of their triple option attack.",2008,"2008-09-18","IND","n"
"Navy Midshipmen","09/23/08","10:01am","Craig Schaefer","LB","Probable","Concussion/Head","The OLB has been upgraded to probable. He went out with a concussion 9/20 vs Rutgers.  The junior had started the first 2 games but was replaced in the starting lineup after that.  He has 8 tackles on the season so far.",2008,"2008-09-23","IND","n"
"Navy Midshipmen","09/22/08","4:42am","Michael Walsh","DL","Questionable","Foot","Walsh went down 9/20 with what was diagnosed as a toe injury and was seen with crutches on the sideline.  The junior has 8 tackles and a sack thus far on the season.",2008,"2008-09-22","IND","n"
"Navy Midshipmen","10/03/08","9:13am","Kevin Edwards","DB","Probable","Ankle","Edwards has been upgraded to probable. He left 9/27 @ Wake Forest after injuring his ankle on the opening kickoff. He didn't return and was on crutches. Edwards is a second string CB and a special teamer.",2008,"2008-10-03","IND","n"
"Navy Midshipmen","09/30/08","9:35am","John Angelo","KR","Out","Concussion/Head","Angelo suffered a severe concussion 9/27 @ Wake Forest and is out indefinitely. He is way down the depth chart as a CB but returned kicks for Navy.",2008,"2008-09-30","IND","n"
"Navy Midshipmen","10/15/08","9:19am","Ram Vela","LB","Probable","Concussion/Head","Vela has been upgraded and is fully expected to play this week. He suffered a concussion 10/4 @ Air Force. He is a starting OLB but has just 15 tackles and no sacks on the season.",2008,"2008-10-15","IND","n"
"Navy Midshipmen","10/15/08","9:19am","Corey Johnson","LB","Probable","Concussion/Head","Johnson has been upgraded and is fully expected to play this week. He was coming off a concussion. He is a starting OLB and is 4th on the team in tackles.",2008,"2008-10-15","IND","n"
"Navy Midshipmen","11/02/08","8:23am","Jarod Bryant","QB","Questionable","Shoulder","Bryant missed 11/1 vs. Temple as a QB but did hold on kicks. Ricky Dobbs came in when Kaheaku-Enhada re-injured his hamstring. He left 10/25 vs. Southern Methodist with a sprained shoulder. He left originally in the 1st quarter and then returned in the 2nd but left again 6 plays later. Bryant may lose the #2 job with Dobbs playing well.",2008,"2008-11-02","IND","n"
"Navy Midshipmen","11/02/08","8:06am","Michael Walsh","DL","Questionable","Foot","Walsh has missed the past 2 games after injuring his foot 10/18 vs. Pitt in his first game back since missing the 2 before it. True freshman Jabaree Tuani replaced Walsh as he did in those previous 2 games.",2008,"2008-11-02","IND","n"
"Navy Midshipmen","12/04/08","8:18am","Anthony Gaskins","OL","Probable","Ankle","The LG is nursing an ankle injury suffered 11/25 @ Northern Illinois but has said that there is no way he is missing the rivalry game.",2008,"2008-12-04","IND","n"
"Navy Midshipmen","12/03/08","8:25am","Matt Nechak","DL","Probable","Knee","Nechak has been upgraded to probable. He missed 11/25 @ Northern Illinois with a knee injury. He was replaced by senior Billy Yarborough.",2008,"2008-12-03","IND","n"
"Navy Midshipmen","12/08/08","8:40am","Emmett Merchant","DB","Questionable","Concussion/Head","Merchant suffered a concussion 12/6 vs. Army. He does not usually start but sees a lot of playing time and has 38 tackles.",2008,"2008-12-08","IND","n"
"Navy Midshipmen","12/07/08","7:20am","Ketric Buffin","DB","Questionable","Foot","Buffin missed 12/6 vs. Army with a foot injury. He has 30 tackles this season.",2008,"2008-12-07","IND","n"
"North Carolina State Wolfpack","09/12/08","8:41am","Anthony Hill","TE","Out","Chest","Hill missed week 2 due to a strained chest muscle and is out indefinitely.",2008,"2008-09-12","ACC","y"
"North Carolina State Wolfpack","09/12/08","8:40am","Matt Kushner","TE","Out","Knee","Kushner was starting for injured starter Anthony Hill and injured his knee in week 2 and is out for the season. Third-teamer George Bryan played well, with five catches for 41 yards and a touchdown, but another injury at tight end might be catastrophic.",2008,"2008-09-12","ACC","y"
"North Carolina State Wolfpack","09/10/08","9:54am","Jamelle Eugene","RB","Out","Ankle","Eugene missed the first two games with an ankle injury and is not expected to play this week. Senior Andre Brown has stepped in for the team's top returning rusher and has averaged 72.0 yards/gm and score one touchdown.",2008,"2008-09-10","ACC","y"
"North Carolina State Wolfpack","09/08/08","8:03am","Russell Wilson","QB","Probable","Concussion/Head","Wilson is expected to start Saturday at Clemson. He missed the last game due to a concussion he suffered in the season opener.",2008,"2008-09-08","ACC","y"
"North Carolina State Wolfpack","08/27/08","8:36am","Javon Walker","DB","Out","Knee","Walker has missed the entire preseason with a knee injury and is out for the season. He tore a knee ligament against Miami last season and has had additional surgery. Sophomore John Ware moves up from the 2nd position on the Wolfpack's depth chart.",2008,"2008-08-27","ACC","y"
"North Carolina State Wolfpack","08/27/08","8:27am","Toney Baker","RB","Out","Knee","Baker is still recovering from knee surgery. NC State's leading rusher in 2006 was supposed to compete for the starting job this preseason but has been sitting out. He will miss the season opener and Coach O'Brien doesn't know when he'll return",2008,"2008-08-27","ACC","y"
"North Carolina State Wolfpack","08/20/08","11:10pm","Donald Bowens","WR","Out","Back","Top returning receiver Bowens will miss the season with a hairline fracture in his spine. Bowens caught 41 passes last year and led the team in receiving yards. Bowens' backup, Owen Spencer, along with Jarvis Williams and Darrell Davis all combined for 25 catches in 2007.",2008,"2008-08-20","ACC","y"
"North Carolina State Wolfpack","08/15/08","11:15am","Clem Johnson","DB","Out","Jaw","Projected reserve is expected to miss 2008 season.",2008,"2008-08-15","ACC","y"
"Nebraska Cornhuskers","09/10/08","6:49pm","Thomas Lawson","FB","Out","Appendix","Lawson will not play 9/13 vs New Mexico St after having his appendix removed this week.  He is the starting FB for the Huskers.",2008,"2008-09-10","B10","y"
"Nebraska Cornhuskers","09/10/08","6:45pm","Lydon Murtha","OL","Probable","Arm","Murtha did not play in either of Nebraska's first two games.  However coach Pelini announced he will start 9/13 after he returned to practice that day.  He is a returning starter at T for the Huskers.",2008,"2008-09-10","B10","y"
"Nebraska Cornhuskers","09/07/08","10:36am","Ricky Thenarse","DB","Questionable","Shoulder","Thenarse injured his shoulder on kick off coverage early in the season opener and did not return.  He did not play  in Nebraska's 9/6 win over SJSU. Thenarse was expected to get signifcant playing time at FS and is a major contributor on special teams.",2008,"2008-09-07","B10","y"
"Nebraska Cornhuskers","09/07/08","10:31am","Barry Turner","DL","Out","Leg","Turner will miss the rest of the season with a leg fracture.  The senior is a returning starter at DE for the Huskers and should have a good chance at receiving a medical redshirt.",2008,"2008-09-07","B10","y"
"Nebraska Cornhuskers","09/15/08","10:09pm","Anthony West","DB","Probable","Shoulder","West has started at CB this year for the Huskers but was held out of the 9/13 game vs New Mexico St. due to a shoulder injury.  He is likely to return 9/27 vs Virginia Tech.",2008,"2008-09-15","B10","y"
"Nebraska Cornhuskers","09/14/08","2:56pm","Pierre Allen","DL","Probable","Foot","Allen left Nebraska's 9/13 win over New Mexico St with a foot injury.  He did not return but has two weeks to recover for the 9/27 game vs Virginia Tech.  The injury does not appear to be too serious.  Allen is now starting after Barry Turner was lost for the season.",2008,"2008-09-14","B10","y"
"Nebraska Cornhuskers","10/02/08","6:47am","Larry Asante","DB","Probable","Concussion/Head","Asante played sparingly 9/27 vs Virginia Tech after getting his bell rung. He is upgraded to probable after he returned to practice Wednesday.  Asante has 20 tackles on the season for the Huskers.",2008,"2008-10-02","B10","y"
"Nebraska Cornhuskers","10/07/08","10:15am","Rickey Thenarse","DB","Probable","Foot","The starting FS reinjured his collarbone and sprained his foot 10/4 vs. Missouri. He missed practice Monday which he said was due to the foot. He expects to return to practice soon and play this week.",2008,"2008-10-07","B10","y"
"Nebraska Cornhuskers","10/15/08","8:12am","Rickey Thenarse","DB","Probable","Shoulder","Thenarse has been upgraded and is expected to play. He missed 10/11 @ Texas Tech with a shoulder injury.",2008,"2008-10-15","B10","y"
"Nebraska Cornhuskers","10/13/08","8:42am","Phillip Dillard","LB","Probable","Knee","The starting MLB missed 10/11 @ Texas Tech with a knee injury. That means Nebraska's top 2 tacklers missed the game and are probable for this week.",2008,"2008-10-13","B10","y"
"Nebraska Cornhuskers","11/09/08","6:47am","Lydon Murtha","OL","Questionable","Foot","The RT missed 11/8 vs. Kansas. He left 11/1 @ Oklahoma in the 1st half with a sprained foot. Sophomore Jaivorio Burkes replaced him.",2008,"2008-11-09","B10","y"
"Nebraska Cornhuskers","11/09/08","6:44am","Phillip Dillard","LB","Questionable","Ankle","The starting ILB has missed the past 2 games. He injured his ankle in the 3rd quarter 10/25 vs. Baylor. X-rays were negative. Colton Koehler replaced him.",2008,"2008-11-09","B10","y"
"Nebraska Cornhuskers","11/10/08","8:41am","Dreu Young","TE","Questionable","Concussion/Head","Young suffered a concussion 11/8 vs. Kansas. He is the backup TE and sees some playing time.",2008,"2008-11-10","B10","y"
"Nebraska Cornhuskers","11/21/08","9:06am","Jaivorio Burkes","OL","Probable","Foot","Burkes has been upgraded and is back at practice. He stubbed his toe prior to Friday practice and had to leave 11/15 @ Kansas St. after only a few plays as a result. He was replacing Lydon Murtha at tackle. Marcel Jones replaced him.",2008,"2008-11-21","B10","y"
"Nevada Wolf Pack","09/08/08","9:03am","Luke Lippincott","RB","Out","Knee","Lippincott is out for the rest of the year with a torn ACL in his left knee. He was the team's emotional leader and led the WAC in rushing last season. Junior Brandon Fragger and sophomore Vai Taua will try to fill Lippincott's immeasurable shoes.",2008,"2008-09-08","MWC","n"
"Nevada Wolf Pack","09/22/08","2:32pm","Brandon Fragger","RB","Out","Shoulder","Fragger was one of the RB-by-comittee members to replace Lippincott and blew out his shoulder. He is out for the season. Vai Taua is now the starter for Nevada along with sophomore Courtney Randall who had two carries for 10 yards Sep. 13th. Randall will likely be 2nd on the depth chart when Nevada faces UNLV. RS freshman Lampford Mark saw his first collegiate carries in week 3 and finished with seven carries for 25 yards and one catch for 11 yards.",2008,"2008-09-22","MWC","n"
"Nevada Wolf Pack","10/14/08","1:43pm","Greg Hall","OL","Out","Knee","Hall went down with a right knee injury in week 7 and Coach Ault said he would not play against Utah State. One depth chart shows senior Brad Eskew as Hall's backup.",2008,"2008-10-14","MWC","n"
"Nevada Wolf Pack","11/03/08","8:13am","Joshua Mauga","LB","Questionable","Chest","Mauga injured his chest in the week 9 game at Hawaii and is questionable for Fresno State. He is the 2nd ranked tackler on the team and has 2.5 sacks. RS freshman Joe Easter is one option the Wolf Pack can use in his place if necessary.",2008,"2008-11-03","MWC","n"
"Nevada Wolf Pack","11/10/08","3:36pm","Kevin Bohr","TE","Out For Year","Knee","Coach Chris Ault said Sunday that Kevin Bohr, the teams top blocking tight end, was lost for the season with a knee injury suffered during the Fresno State game.",2008,"2008-11-10","MWC","n"
"Nevada Wolf Pack","11/26/08","2:41pm","Brad Langley","P","Out For Year","Achilles","Langley, who tore his left Achilles' tendon before Saturday's game against Boise State, will likely be sidelined nine months, Ault said, putting his availability for the 2009 season opener in question. Senior K/P will finish the season as the team's punter.",2008,"2008-11-26","MWC","n"
"Nevada Wolf Pack","11/26/08","2:39pm","John Bender","OL","Questionable","Arm","Offensive guard John Bender has an arm injury. Coach Chris Ault said Sunday that it is not known how sever Benders injury is.",2008,"2008-11-26","MWC","n"
"Nevada Wolf Pack","12/15/08","11:10am","Joshua Mauga","LB","Out For Year","Chest","Mauga will have surgery on his torn pectoral muscle and will miss the Humanitarian Bowl. He was 3rd on the team with 54 tackles.",2008,"2008-12-15","MWC","n"
"Nevada Wolf Pack","12/30/08","8:07am","Mike Evans","DB","Out For Year","Knee","Evans suffered a knee injury and will miss the Humanitarian Bowl.",2008,"2008-12-30","MWC","n"
"New Mexico Lobos","09/11/08","8:45am","Terel Anyaibe","LB","Doubtful","Leg","Anyaibe is doubtful for Saturday's game with a strained lower left calf muscle. He'll undergo an MRI on his Achilles' heel early this week but is not expected to practice even if tests don't reveal a serious injury. RS fresman Julian Conley is listed 2nd on the depth chart and is likely to start in Anyaibe's place.",2008,"2008-09-11","MWC","n"
"New Mexico State Aggies","09/16/08","11:56am","Ryan Franzoy","TE","Out","Knee","Franzoy is out for the season with an ACL injury.",2008,"2008-09-16","WAC","n"
"New Mexico State Aggies","09/23/08","1:58pm","Kyle Smith","OL","Questionable","Foot","The starting left tackle injured his foot in the UTEP game and is questionable for this weekend.",2008,"2008-09-23","WAC","n"
